id,Longitud de camino característico,Eficiencia global,Fuerza nodal promedio,Coeficiente de agrupamiento,Transitividad,Asortatividad,Modularidad
FIS_078,2.9340589199895235,0.36684056193760683,18.557479705428353,0.3644554623993836,0.6970149253731344,-0.08303478498040831,0.15042214919972235
FIS_079,2.9545165319826094,0.3627313922861732,18.928734884406314,0.358844198334989,0.7082289083094184,-0.09372721038695793,0.13279937982248297
FIS_080,4.744254856155956,0.23059566729548206,9.793102121163889,0.3778185738656528,0.6462629446195407,-0.0645620368850458,0.21886032080395693
FIS_082,2.894815018244517,0.3698978037652432,20.15293726460539,0.4040873426806734,0.7374907595638515,-0.09904195917631105,0.1128535387508983
FIS_083,3.1366619439356818,0.34361633012633097,17.24104503305867,0.33405186374313406,0.6975321231898838,-0.0678603021382953,0.14333241399512692
FIS_084,2.9196617108394736,0.36524939316455735,19.886022886793164,0.3810735165987165,0.7369856137268548,-0.08866296022915987,0.12200023289191791
FIS_085,3.1395571219996277,0.3408341815145901,18.214065892621928,0.42076289915443776,0.7223298114872649,-0.11140607322631933,0.13600012242843
FIS_086,3.184776724805767,0.33815795362535905,17.695814164039824,0.39678804505553245,0.7179554185068074,-0.06431006713787431,0.14478691589619017
FIS_088,3.0115448065758863,0.35783523723260996,18.177171108942062,0.39937348575491216,0.7067698093854176,-0.05746433626682059,0.16020172071403194
FIS_089,3.1570661391517727,0.34042451162818266,17.56180370877571,0.3974697974063282,0.7156545645669928,-0.0753083902709305,0.16403308569233704
FIS_090,3.0721538813546903,0.35244961383424367,17.65421915013055,0.42002535683603726,0.7024051640286497,-0.04341164132855348,0.1548221853776358
FIS_091,2.8607773669530987,0.37492187639208624,19.83609044531516,0.40911454380971746,0.7178523999241131,-0.08702653332931992,0.1259111843286906
FIS_092,3.174940417438677,0.3386301138521684,17.22802572875643,0.38124531831532193,0.7059557132167503,-0.06639442691608194,0.14937310506560814
FIS_093,3.2402037297711566,0.3345170203445784,16.69090436132574,0.4084176784439901,0.6922231885384721,-0.03757520432911606,0.17959055975567717
FIS_094,2.7492624878190415,0.38932716382529137,20.972473981901157,0.4275392174748638,0.728786496350365,-0.10576903224034698,0.12864089886388078
FIS_095,3.2031056873083243,0.33416768316330886,17.698300168972196,0.3938325249372374,0.7281913643616035,-0.03551983394350591,0.1240473868347457
FIS_097,3.0611347164977576,0.3506562022682058,18.107352308519687,0.36145099198478614,0.7092840758179404,-0.0741150766809781,0.1453472425868275
FIS_098,2.768039275036244,0.3874742347983312,20.84989844408224,0.388125090172172,0.7308106407945514,-0.07221707728090218,0.12887437765389942
FIS_099,2.867966473767065,0.3744833142031138,19.730236877691304,0.38118931908915227,0.718351324828263,-0.07969572478778025,0.13714459871680673
FIS_100,2.9501256919512495,0.36309313976701624,19.162675391780997,0.3826216238535179,0.7197931716219299,-0.048522905915258006,0.13448414088497163
FIS_102,2.920471426469486,0.3687464564384451,19.170105552427444,0.41447986191384,0.707989948390932,-0.0489719132414968,0.1451730048537587
FIS_103,3.5536408135553184,0.304025843135867,15.366839232465976,0.39432412550071083,0.7051484052293149,-0.019140385872184064,0.15627808775798552
FIS_104,2.9600699149186975,0.36432583621171527,18.742659980893244,0.43294616167160566,0.7158734525447042,-0.03847136491385085,0.14157175662857197
FIS_105,2.84989737090928,0.3751108877208159,20.35812080574126,0.36606130770952683,0.7314955727725512,-0.0827590030697382,0.11965493860560406
FIS_106,2.6460333687310857,0.4054488474755553,21.161131475819207,0.382696773392979,0.7127406049495876,-0.057131044859913965,0.12876371437733886
FIS_107,2.591417253395709,0.412915028772609,22.68492210872311,0.39116760689891084,0.7429961679795926,-0.09186160716852045,0.12074663823065801
FIS_112,3.240479060401037,0.3321239240560679,16.750100061701982,0.38551294921444085,0.7010142333589022,-0.07972573446585453,0.1337971463437499
FIS_113,2.970014103551848,0.3603687490096635,18.995502076734464,0.3729953970945588,0.7164789657088025,-0.08414607447653157,0.1348562675930075
FIS_115,4.104200188915457,0.26914515670501366,12.100142044771019,0.3663010068928624,0.6775256661207206,0.06034209478316295,0.22083523232886876
FIS_116,2.762093436644882,0.38754032575645997,20.762739715375794,0.36952139863246236,0.7260698403440986,-0.10179897940580807,0.12430018251940304
FIS_117,3.5517326831419007,0.3042204969097963,15.065426684835678,0.3710351245388238,0.7024295753498708,-0.02416937819588973,0.17268984274034083
FIS_118,2.971491171602112,0.36169256069046035,18.632722141797938,0.4007680697077641,0.7050087718105289,-0.09531699302775502,0.14320321714378703
FIS_119,2.658039805900967,0.40162129226279103,21.665711330543,0.4097897938887944,0.7258807127710674,-0.07257031160643669,0.1237218902134137
FIS_121,2.9293737710685135,0.36529178011359625,19.228094079898312,0.4187342736609801,0.7091560115291339,-0.09476585696440748,0.11947740262102285
FIS_122,2.952924149671277,0.3618026331835433,19.326927698505177,0.404988292681171,0.7292285316041452,-0.0793691640564622,0.14036232001385507
FIS_123,2.8830562024636803,0.3726182333886878,19.298825318852955,0.3929272110350767,0.7137029260903075,-0.07041432086087791,0.13865129942000698
FIS_124,2.997382967040663,0.3584289185139855,18.54590793669288,0.3961206339758978,0.7137525582888559,-0.06402266294052962,0.14560642355638637
FIS_125,3.2990564503719666,0.33025395116132744,16.49925806307955,0.3552692508891557,0.6903461640095129,-0.04057307387254107,0.14518539229863858
FIS_126,3.2538135305848668,0.3336948884034042,16.172636008100007,0.3841348510212991,0.6834501666310968,-0.03819321509389973,0.1926800878301303
FIS_127,3.164595331836185,0.3405567741749239,17.231001050066652,0.35085928702099,0.6983627839884602,-0.05363834674834567,0.16418105191286586
FIS_128,2.872383291163645,0.3762977505868703,19.027284162689877,0.3993209302516394,0.6963045977847964,-0.06495265292956397,0.15672321630995018
FIS_129,3.4694795766609214,0.31164340942706814,15.028840828293895,0.34454186947715487,0.7042555522514203,-0.06113638105968228,0.1791319410691701
c001MSVIS,2.6037531123269138,0.40788981960228476,23.592922062661696,0.44809038257904205,0.779711919199648,-0.12198172549134478,0.09378622515886208
c027MSVIS,2.623318476871777,0.4073700306982145,22.496404784462083,0.4193202554929644,0.7400002205630976,-0.09453550613669291,0.10835324959586376
c029MSVIS,2.6073284434873183,0.4074252628190767,23.429287559935343,0.4381732079807104,0.7752665245202559,-0.09120243078901351,0.0927675516252029
