id,Longitud de camino característico,Eficiencia global,Fuerza nodal promedio,Coeficiente de agrupamiento,Transitividad,Asortatividad,Modularidad
100MSVIS,5.319971166739592,0.20492815214842203,11.473050029809086,0.2724935322276877,0.86142081189251,-0.052334124592679124,0.061752184352337675
103MSVIS,4.8564590889164645,0.21407102743413123,12.120056354823054,0.28840674750166234,0.8844028680835754,-0.03243560867852259,0.048946960466968864
104MSVIS,4.768259937110327,0.22460570874445354,13.637606520724848,0.309015708367428,0.8979207981518206,-0.032166702628270614,0.0588238502334073
105MSVIS,4.188475003837607,0.26522470037809,16.783084852163693,0.3403406948424106,0.926040061633282,-0.011770533055758568,0.04882486435554842
107MSVIS,3.877175166376367,0.2731783170787901,16.647535042651583,0.3090455215859612,0.9178080493821039,-0.03031391245749023,0.03380494562858561
108MSVIS,4.076446743338267,0.25769591844172224,12.221804976464686,0.27449184931790976,0.8377359643850409,-0.10798105010477624,0.08155696570332857
109MSVIS,4.165082417161125,0.2688387844705277,17.066731108220036,0.35227145903205365,0.9526004615640836,0.0037630855902781647,0.036740163310075874
110MSVIS,4.68736096497616,0.24285241475779984,13.298722691598021,0.29453680170937896,0.8669881731542083,-0.06899710014058605,0.06896347010714288
111MSVIS,3.9166120827254582,0.27262300090532277,13.290788624095066,0.2920575467132812,0.791914967056841,-0.22495639541938822,0.09001922544409857
112MSVIS,4.272170668144376,0.245930120078924,14.329469666407874,0.2942614891555336,0.9145685602740817,-0.0524248128538745,0.04601944094573227
113MSVIS,5.950841149146597,0.18636333869535268,8.431672778848217,0.2648771881749696,0.7288226082004556,-0.32564720768518557,0.08019789518238526
119MSVIS,5.481985898459106,0.20585215259563328,12.234784963372274,0.327703613623939,0.9072796131910243,-0.04764698646198645,0.05401462079761665
120MSVIS,3.718446951684242,0.2942551069145885,18.843876255276722,0.3336138540055977,0.9536739376879139,-0.011225956496958508,0.029107497678755534
121MSVIS,4.260373925413615,0.25162015580149616,15.101486987411132,0.29916556171054765,0.8992937642904496,-0.039671789455875905,0.04177580325268854
122MSVIS,5.062201746079297,0.21065320476797283,11.400059353362241,0.30569752963155256,0.8641145714935212,-0.09060470719845193,0.07271661927531164
123MSVIS,4.199937274124615,0.26544064897301084,13.246359908857386,0.29496294257257616,0.8169952594036596,-0.11643075644547023,0.07059475567275694
126MSVIS,5.3900438836627975,0.19048190712261096,8.158696989285888,0.2529239683782118,0.7734528006267136,-0.11926433722455564,0.08132622172166129
FIS_028,5.972008663343324,0.19224227251597859,10.217964546392423,0.2511072750691523,0.8186200529109924,-0.1615679490116066,0.08707911536023136
FIS_029,3.5589406410680255,0.3063073717433499,18.936841057506836,0.3283254613670762,0.9561429955852266,-0.015138901950107732,0.03610481527364035
FIS_041,3.3282965220732272,0.32007361821588376,20.04778396891092,0.3239889460435735,0.9549442661462072,0.01681708601177958,0.05244815001266881
FIS_047,5.649037278446557,0.19044298015688765,8.726762219040435,0.3020658449118799,0.8063701609693843,-0.15471234191382693,0.0971483838448659
FIS_048,4.0017352139595515,0.28058284030062836,18.461653201087447,0.3835201392447482,0.952692975640967,-0.005693649981278364,0.026980400993937278
FIS_049,5.446713191545432,0.20478172714742984,11.816899861658738,0.27807927180898134,0.8737592702517902,-0.03145025251264226,0.05983540834222137
FIS_056,5.2268219538927685,0.21011995474836778,10.541520703818142,0.2431018288870904,0.8563131963542402,-0.11540827315020578,0.07904525371524951
FIS_057,3.568827957421644,0.30324308211858764,17.775717559262464,0.3038870295616269,0.9129292977743668,-0.01945757128384043,0.04666873259755386
FIS_059,3.7921738932060443,0.28697466548371237,16.92256041976707,0.316133352031609,0.9239544400813738,0.003375858426659768,0.04608135083845821
FIS_063,3.3877366804444766,0.3235697990059942,17.192343103907447,0.3107532836209909,0.8840567345632931,-0.02538706195515748,0.05201795321766958
FIS_065,2.9988940756733102,0.37287456119903156,24.563098400497623,0.38711925257801844,0.9701201655011412,-0.011622501218816767,0.028011414624784375
FIS_067,4.427224575032235,0.24588168644929317,16.095490671773227,0.36477939247718905,0.9535078096432116,-0.019589284164457755,0.02867639874118159
FIS_068,3.3150088805249616,0.32746132613824147,18.53233534398557,0.2798905020220475,0.9261437056180575,-0.012940337963629811,0.049725661822319474
FIS_069,4.348346642905649,0.25247626133378714,16.463817532082555,0.3326552907571865,0.9415672873783494,0.009055654746745618,0.04739748226460011
FIS_070,3.8024585844255503,0.2870791461718068,17.526546623856046,0.31763890840042164,0.9369409376387744,-0.01602178278366005,0.040345330379158134
FIS_071,3.8722707449442844,0.2908328865325959,18.583282282398624,0.3559233985872975,0.9562973704782082,-0.011391713340199134,0.03239766019164239
FIS_072,3.463350689351184,0.3182498984761559,15.160129101933,0.30942373310984417,0.8283756114207712,-0.12911416543032064,0.086181162957882
FIS_073,3.707337817179222,0.29966672993562465,20.407687666560054,0.3661314695395287,0.9744024593313693,-0.023109778292411478,0.0352655422892387
FIS_074,2.9950124413825483,0.36350131784676387,21.80260955147142,0.35984615975718043,0.9202762158663809,-0.0062565051416587775,0.04550353033763829
FIS_075,3.793825317590073,0.2875924170301107,16.600599720139453,0.30332074270984516,0.9155820190438698,-0.01508492840444966,0.04957815871598535
FIS_076,3.5856333366870534,0.3073323607830553,16.843724412256112,0.3301096441161759,0.8692194858333977,-0.06988864151730761,0.08670428038514605
FIS_078,3.6109619307327487,0.29856222684180883,16.496164667812533,0.3172796358701425,0.866589977067818,-0.06655551637680865,0.04395521516423534
FIS_079,3.786262421745661,0.29321328482021825,19.096888041867196,0.34508380229363894,0.9460093121553347,-0.008506373657755202,0.04016522120477009
FIS_080,4.1416448124433325,0.2739235918355179,16.073738811264853,0.3297847960070904,0.9012470677152778,-0.030323064839461907,0.05800231954541468
FIS_082,3.5388654788017804,0.30808779333320446,19.930373890048962,0.3286346512131944,0.9642918850429073,-0.02915672002297333,0.023125390877765925
FIS_083,2.685228519140518,0.4040174025077443,23.673181561383345,0.329458037645391,0.9281722996799219,0.00453828594479012,0.045017610842229966
FIS_084,3.3110596469282454,0.32533331660236314,20.387989638344816,0.329715750298676,0.9534038176338324,-0.025662349223093586,0.034344591830780064
FIS_085,4.339203974602692,0.2498197510003892,13.765414785039534,0.28080008017904184,0.9174758232501649,-0.03950823259866947,0.04352208891668791
