ID,nodo1,nodo2,nodo3,nodo4,nodo5,nodo6,nodo7,nodo8,nodo9,nodo10,nodo11,nodo12,nodo13,nodo14,nodo15,nodo16,nodo17,nodo18,nodo19,nodo20,nodo21,nodo22,nodo23,nodo24,nodo25,nodo26,nodo27,nodo28,nodo29,nodo30,nodo31,nodo32,nodo33,nodo34,nodo35,nodo36,nodo37,nodo38,nodo39,nodo40,nodo41,nodo42,nodo43,nodo44,nodo45,nodo46,nodo47,nodo48,nodo49,nodo50,nodo51,nodo52,nodo53,nodo54,nodo55,nodo56,nodo57,nodo58,nodo59,nodo60,nodo61,nodo62,nodo63,nodo64,nodo65,nodo66,nodo67,nodo68,nodo69,nodo70,nodo71,nodo72,nodo73,nodo74,nodo75,nodo76
sub-0068,62,31,65,56,68,55,56,62,61,64,64,70,56,58,59,53,60,57,63,61,54,50,61,56,53,44,44,61,60,57,65,67,52,64,65,60,49,45,54,57,65,67,58,54,58,55,56,60,50,68,52,63,64,61,58,60,58,62,64,62,64,66,58,58,61,48,56,54,60,61,57,54,58,62,56,63
sub-0069,60,58,62,45,59,50,57,48,58,53,58,53,62,44,53,59,55,60,49,48,56,48,42,60,59,56,46,62,60,52,64,58,53,41,36,49,51,55,56,55,50,36,51,49,55,49,51,60,37,63,51,61,44,55,53,57,49,57,35,50,60,53,57,52,54,58,48,47,59,51,57,49,54,56,55,63
sub-0070,62,59,58,59,59,58,59,52,43,64,54,61,57,44,60,66,54,66,52,60,58,61,55,61,62,62,58,58,62,54,60,62,62,54,61,57,62,60,61,56,55,65,48,58,62,60,62,52,44,63,66,63,46,56,58,58,54,67,49,68,64,55,61,47,65,60,62,53,52,65,66,59,60,63,56,59
sub-0071,64,63,55,35,45,69,63,62,51,60,55,65,65,62,58,52,51,60,59,59,63,56,57,54,57,60,61,61,66,58,68,52,43,68,55,53,46,42,58,54,64,65,50,56,52,63,51,52,55,46,59,58,61,57,55,50,56,61,58,65,64,57,61,61,53,61,59,55,56,51,57,63,64,69,54,62
sub-0072,69,49,65,60,63,73,58,66,70,56,68,58,68,58,62,64,49,49,65,65,68,51,67,47,52,55,67,62,61,51,66,70,69,66,55,55,62,65,69,65,66,67,48,61,68,66,67,65,61,68,57,61,63,70,45,67,60,57,55,63,67,50,64,65,66,66,59,54,44,67,69,66,56,47,56,65
sub-0073,54,58,58,43,54,55,64,57,57,59,63,58,59,52,63,49,51,53,62,58,58,57,54,49,53,59,60,54,57,58,56,58,42,52,54,58,52,61,44,48,45,42,67,60,46,60,47,59,41,56,56,62,58,56,61,58,60,59,54,58,63,62,61,62,55,55,50,47,47,60,50,54,59,58,59,58
sub-0074,57,57,54,50,60,57,53,62,55,57,50,60,61,46,57,63,59,56,30,60,57,59,60,63,61,52,54,51,54,51,58,56,42,52,57,43,59,42,54,56,41,52,42,41,52,56,61,50,43,45,55,65,55,57,46,49,58,59,40,60,56,61,51,52,58,56,63,48,58,62,55,60,56,62,52,60
sub-0075,49,46,56,48,65,55,60,58,57,61,51,54,52,41,58,56,50,48,54,43,69,49,57,51,45,51,46,58,57,63,61,60,41,41,44,42,56,45,63,57,49,35,53,56,43,49,48,62,47,47,53,54,59,51,60,56,56,58,46,55,59,54,49,57,50,61,44,53,51,47,51,43,64,60,64,62
sub-0076,63,42,62,43,56,43,62,45,65,49,59,50,64,50,54,61,62,60,57,58,58,59,43,64,59,59,62,55,65,58,64,66,64,63,60,44,39,61,64,61,64,60,60,60,54,65,64,65,58,60,55,61,47,64,57,60,50,55,58,55,61,58,65,51,63,61,57,46,60,61,62,63,51,63,53,62
sub-0077,55,45,52,32,47,53,39,60,42,45,45,51,41,54,49,62,52,56,60,52,58,53,54,46,54,43,42,58,62,54,57,56,58,49,37,45,45,40,51,51,56,37,43,37,40,59,48,52,42,44,47,49,57,48,60,46,55,56,55,50,54,39,54,49,55,55,52,53,53,58,54,40,54,61,59,54
sub-0078,56,53,61,50,54,52,55,57,62,54,60,61,57,55,46,61,51,57,53,60,63,66,57,56,59,58,52,58,59,61,55,67,52,37,56,50,57,55,68,51,44,38,61,52,54,61,54,57,47,59,53,57,57,62,57,58,54,60,56,36,63,57,56,57,57,58,65,46,55,59,48,60,57,57,60,58
sub-0079,50,56,62,48,50,54,55,49,59,58,57,57,67,63,61,55,54,68,61,64,61,62,55,53,59,64,64,65,56,52,52,64,53,46,57,52,45,50,62,48,48,53,45,53,56,53,51,59,37,51,44,60,53,59,57,56,60,58,46,60,49,62,63,60,61,57,66,56,54,61,65,64,69,57,48,51
sub-0080,61,53,60,40,63,60,51,46,59,51,55,67,49,35,60,51,47,55,60,61,57,64,52,63,57,46,64,50,55,58,58,56,53,44,44,58,39,52,56,50,43,51,41,44,51,64,51,58,56,58,54,56,52,50,57,55,54,52,42,52,57,55,55,60,65,56,62,46,63,53,57,55,57,53,57,60
sub-0081,60,43,58,33,60,59,45,60,61,49,63,65,45,52,58,64,53,59,61,49,57,57,60,58,62,55,40,54,64,45,64,44,41,53,48,50,41,58,47,59,54,50,63,43,53,60,59,56,46,64,63,53,56,60,51,63,62,61,47,56,64,53,61,60,47,58,49,60,57,61,62,57,51,61,55,64
sub-0082,61,67,55,53,56,64,50,49,53,60,56,56,71,30,57,59,54,56,66,60,70,65,58,64,67,68,60,68,66,68,63,54,55,45,67,63,57,54,60,49,45,64,58,47,58,62,66,60,60,63,57,49,43,52,62,44,61,58,43,65,65,46,56,57,62,65,68,52,61,64,66,63,65,61,64,64
sub-0083,54,49,51,53,50,58,51,59,57,53,52,51,47,44,41,59,53,48,40,43,46,54,46,53,48,49,50,55,59,47,57,50,50,52,47,56,52,55,54,46,47,35,38,53,43,50,56,55,41,53,52,41,61,57,50,44,57,56,50,51,56,51,53,50,43,48,51,51,57,50,61,40,53,61,46,48
sub-0084,44,51,63,49,62,55,58,51,63,69,63,56,58,52,61,50,64,50,63,62,54,64,63,63,57,60,65,63,62,57,54,64,60,65,54,50,55,69,66,60,61,55,57,53,62,58,50,62,53,64,48,49,55,63,65,63,54,55,48,60,70,65,58,63,62,59,63,58,64,62,60,63,65,67,50,53
sub-0085,51,56,59,62,58,59,45,58,54,57,59,47,56,45,59,52,52,47,56,46,57,56,57,53,57,60,63,65,56,69,63,61,50,53,55,55,61,47,60,54,58,56,55,63,45,55,50,61,43,55,57,46,55,55,56,55,43,63,56,60,62,62,60,59,45,56,55,52,44,48,60,53,61,54,58,64
sub-0086,64,57,49,60,58,61,51,62,50,49,53,54,57,49,61,63,53,53,40,57,57,60,61,56,49,61,56,53,64,43,57,44,55,58,49,52,51,49,53,47,62,52,60,59,42,64,58,58,48,56,60,49,55,52,50,55,56,54,44,54,60,50,55,44,63,62,62,49,43,54,56,54,57,60,53,60
sub-0087,50,57,62,48,63,52,63,57,56,57,57,55,65,60,57,53,60,57,50,54,56,57,42,53,60,59,57,71,63,53,56,60,57,54,65,60,58,48,58,59,47,54,53,52,57,57,59,46,63,46,64,64,57,53,64,40,51,66,61,54,47,66,53,52,54,55,59,52,56,63,47,57,55,60,70,59
sub-0088,65,51,68,55,67,63,71,48,64,63,65,53,70,45,58,48,54,56,59,63,60,55,49,46,50,54,66,73,55,53,53,65,58,58,61,49,65,53,63,56,62,63,55,66,52,67,52,67,43,62,69,69,59,56,59,57,56,60,54,52,53,62,50,60,61,61,54,47,43,48,53,66,73,53,50,52
sub-0089,59,59,57,61,64,56,56,62,57,62,60,57,67,52,59,51,48,50,60,56,61,62,59,49,54,60,60,63,60,61,59,56,62,39,41,57,52,51,58,63,53,51,45,63,56,59,55,56,58,63,61,60,59,60,63,56,47,67,63,62,58,52,56,56,63,64,64,54,50,63,62,60,59,47,56,61
sub-0090,51,55,55,54,63,61,65,52,56,61,55,62,68,65,61,51,68,43,44,60,56,53,61,54,59,54,55,67,63,66,55,61,59,56,66,52,59,57,53,61,58,63,55,65,53,52,52,62,58,51,54,66,56,57,66,54,57,66,53,60,54,64,52,51,59,53,60,58,55,55,49,63,57,57,63,59
sub-0091,56,54,61,43,49,65,51,53,53,46,58,63,65,45,56,63,52,58,56,47,57,60,55,53,59,47,54,64,60,45,62,58,56,51,58,48,44,51,50,38,43,54,47,38,55,58,55,56,42,53,61,48,54,56,44,52,51,58,62,41,63,51,59,49,56,51,56,56,48,56,58,43,53,59,52,62
sub-0092,58,42,51,44,39,45,55,51,55,55,42,64,50,63,54,54,44,56,51,51,44,53,48,52,50,43,52,56,55,53,60,59,58,50,36,44,49,55,59,51,56,41,53,43,54,52,59,52,56,55,49,52,55,46,54,45,54,46,59,55,63,48,57,45,61,49,56,50,49,59,48,53,55,64,50,60
sub-0093,60,50,58,35,60,52,54,59,57,64,56,61,62,51,58,50,51,57,56,50,59,61,52,52,56,55,58,56,56,63,57,50,58,48,51,53,61,61,44,61,54,55,44,51,61,59,60,50,52,57,53,61,54,58,64,58,57,52,50,63,57,58,48,57,52,48,61,49,58,49,63,63,60,55,60,56
sub-0094,59,64,51,49,62,66,50,61,59,47,66,57,61,44,56,60,65,60,57,62,57,62,65,67,65,64,58,63,60,56,52,63,64,43,51,58,43,48,62,59,27,56,44,59,37,54,68,50,34,64,53,64,57,59,50,48,57,57,51,59,58,60,61,55,64,54,61,50,62,56,68,57,59,54,55,56
sub-0095,58,47,62,62,59,55,52,59,54,55,52,62,59,49,53,61,59,45,55,55,54,61,55,56,58,53,56,51,61,56,63,54,58,44,38,46,51,64,51,44,43,43,46,51,62,64,42,51,60,45,58,40,60,52,64,52,56,48,52,63,65,62,59,44,58,54,63,51,57,47,54,56,52,64,55,66
sub-0096,58,59,62,58,61,62,52,50,66,65,62,66,62,56,63,63,63,66,60,54,60,68,61,61,58,63,59,53,62,54,61,42,60,55,54,57,55,50,50,70,53,51,57,60,56,61,65,61,51,64,56,55,58,64,60,58,67,63,56,64,62,60,63,58,68,63,68,61,66,68,64,53,62,62,67,64
sub-0097,60,54,61,55,51,57,55,50,67,53,43,55,48,36,70,62,58,44,63,55,62,62,54,47,52,54,69,58,64,61,65,58,58,52,48,64,50,52,62,42,41,50,56,41,66,63,54,59,67,56,55,52,51,51,62,52,63,57,51,60,57,70,54,60,58,59,58,55,58,49,39,69,49,59,64,60
sub-0098,53,52,51,61,52,50,58,55,58,63,56,58,66,61,54,58,61,57,61,63,59,66,41,61,55,59,59,66,62,70,49,55,59,53,51,60,62,61,58,60,60,52,59,57,59,55,45,46,57,57,54,61,57,52,62,49,58,67,64,51,60,64,58,63,52,61,64,38,62,47,61,54,68,60,60,58
sub-0099,53,52,64,45,63,59,58,44,59,54,60,53,58,60,59,52,52,51,41,57,60,59,43,52,61,63,50,62,57,61,55,59,63,62,56,61,46,60,63,69,63,53,48,57,47,61,55,64,43,64,59,60,61,62,57,65,48,67,56,54,57,51,55,50,64,64,58,52,54,63,63,58,63,54,60,54
sub-0100,62,45,54,46,47,46,54,57,53,35,53,63,59,46,57,55,63,56,57,49,65,53,52,55,57,57,59,61,56,57,60,58,39,59,58,43,45,45,65,61,60,50,66,31,57,61,46,57,55,66,61,60,54,64,60,62,60,66,55,61,59,53,60,53,58,67,57,46,62,60,58,57,70,58,64,62
sub-0101,53,60,63,52,51,67,47,66,55,62,50,57,58,43,54,51,60,56,64,63,49,66,62,47,63,62,52,58,68,65,55,62,53,47,62,32,51,52,62,52,53,48,58,64,43,53,58,64,37,51,69,53,62,67,57,67,66,66,46,61,66,59,68,65,68,58,64,57,60,63,61,46,58,66,65,59
sub-0102,59,48,58,45,60,52,49,53,57,59,57,57,44,48,61,63,58,54,58,57,50,57,47,66,49,49,61,53,55,57,59,55,52,55,52,46,39,61,50,62,52,50,46,45,60,46,52,56,57,47,53,45,59,55,56,50,65,58,50,56,52,57,62,49,55,49,54,47,66,56,57,53,58,60,43,56
sub-0103,65,60,60,50,70,52,64,63,56,60,58,61,67,64,60,68,62,59,53,56,62,57,54,65,57,61,64,62,60,45,71,72,66,66,50,57,45,65,57,62,67,60,68,54,60,55,60,59,65,63,47,64,64,57,62,58,67,66,56,61,58,64,64,56,59,65,67,42,73,61,59,56,64,64,44,69
sub-0104,63,57,63,55,62,64,45,59,63,58,61,45,60,60,60,57,51,47,63,66,46,62,59,59,66,57,67,61,61,61,60,54,66,58,43,58,45,65,58,67,58,56,46,46,65,66,56,64,62,61,59,59,63,65,64,64,50,65,59,63,66,60,64,61,61,57,58,64,52,65,60,66,59,65,62,67
sub-0105,52,50,56,60,61,50,50,42,51,54,54,57,53,50,55,47,41,53,53,59,52,55,49,55,50,61,57,54,64,51,60,54,56,54,40,47,55,56,47,58,59,41,49,55,51,50,65,53,47,56,55,54,50,58,58,53,55,57,54,55,57,49,63,53,61,54,59,60,63,60,57,49,56,58,46,53
