,0,1,2,3,4,5,6,7
0,0.27984953,0.27615643,0.27757132,0.19729044,0.2789752,0.27885622,0.27942634,0.2829934
1,0.281278,0.2775931,0.27717987,0.1785374,0.27787057,0.27952346,0.2770516,0.28259197
2,0.27979863,0.27900854,0.2782003,0.2277069,0.27551818,0.27902675,0.28244784,0.2791009
3,0.27748552,0.27687526,0.27354285,0.012830263,0.2767878,0.27837113,0.27890798,0.28504747
4,0.27920818,0.27874136,0.27621463,0.1704931,0.27630576,0.27810752,0.27705857,0.28116342
5,0.2772051,0.2792225,0.27828595,0.11854095,0.27824548,0.27596438,0.27977598,0.28255492
6,0.28097633,0.2766371,0.27704054,0.16428056,0.27693382,0.27758747,0.27792323,0.2846698
7,0.27751303,0.27810693,0.27656993,0.11488532,0.27691284,0.27640083,0.27900997,0.2822405
8,0.27737418,0.27946532,0.27765948,0.14084047,0.27959928,0.27772862,0.2786326,0.28171396
9,0.28086957,0.27876714,0.27722424,0.16518287,0.27704093,0.27711016,0.27727315,0.28681087
10,0.2759247,0.27597964,0.2780399,0.09292845,0.2782789,0.2799237,0.28120467,0.28135028
11,0.2809188,0.27888063,0.27762866,0.19283241,0.28018403,0.2809599,0.28023717,0.28100124
12,0.27657261,0.27598068,0.27725485,0.15742673,0.27774116,0.27662957,0.2803146,0.28191245
13,0.27845955,0.27766833,0.2775928,0.18725635,0.27738214,0.27926365,0.28150493,0.2842981
14,0.28119922,0.27837735,0.2764262,0.2449862,0.27898705,0.2783308,0.27914998,0.28270134
15,0.27990866,0.28092888,0.27804375,0.19231245,0.27917385,0.2799828,0.2814215,0.2833932
16,0.27842888,0.27657118,0.2779819,0.20698291,0.27739805,0.27987406,0.27974692,0.2818931
17,0.28064048,0.27966928,0.27887508,0.17975107,0.27799723,0.27996352,0.27917898,0.28177938
18,0.27903897,0.27489728,0.27999893,0.23424806,0.27694437,0.2783715,0.28072065,0.28262496
19,0.2825549,0.2783567,0.27746955,0.23821564,0.27635914,0.27909327,0.28218645,0.28129923
20,0.2805959,0.27794078,0.27746257,0.18935983,0.27886748,0.28073344,0.2800974,0.28428137
21,0.28096232,0.27737856,0.27750957,0.22259827,0.27722326,0.2794665,0.2807139,0.2826604
22,0.27633262,0.27903712,0.27393654,0.19836624,0.27755135,0.2747407,0.27909097,0.2800871
23,0.28086573,0.27839747,0.27670875,0.1574447,0.27740085,0.27690095,0.27729335,0.28141776
24,0.28003868,0.27805433,0.28015974,0.16664787,0.2772411,0.27770388,0.27854252,0.28257722
25,0.28117695,0.27687305,0.2794712,0.1574772,0.27783427,0.28023568,0.2790634,0.2810176
26,0.2764168,0.27711707,0.2775479,0.22111273,0.2756457,0.27500534,0.2806551,0.27913773
27,0.279092,0.2790972,0.2769916,0.17128542,0.27675915,0.27459303,0.27987272,0.2837075
28,0.28141916,0.2774784,0.27375564,0.20040955,0.27632445,0.27703768,0.27963856,0.28204966
29,0.28275493,0.27834958,0.27863958,0.25813,0.27998763,0.27985427,0.28234947,0.28364998
30,0.27777722,0.2761719,0.27839568,0.19033787,0.2766078,0.27610278,0.27947292,0.2819605
31,0.2780711,0.27905625,0.27651677,0.11679721,0.27615806,0.27550873,0.2788416,0.27918875
32,0.27907893,0.27727655,0.27577522,0.06817301,0.277468,0.27824047,0.27725527,0.27923366
33,0.27716133,0.27771422,0.27716634,0.1142811,0.27907252,0.27716073,0.27791798,0.28199896
34,0.27988148,0.2775274,0.27752823,0.11028398,0.27729,0.27613539,0.2749325,0.28218523
35,0.2784647,0.2773862,0.27589774,0.1820465,0.27657261,0.2771379,0.2786573,0.28193018
36,0.28058666,0.27982736,0.27628672,0.1101264,0.27728176,0.27748618,0.2790937,0.28264314
37,0.28176704,0.27822107,0.27641284,0.13708177,0.27721992,0.2801695,0.28177103,0.28218886
38,0.27479535,0.2778751,0.27613333,0.06209866,0.2758768,0.27386332,0.27842566,0.277514
39,0.28106615,0.27564937,0.2792775,0.10035721,0.27742884,0.27976218,0.27527985,0.28190675
40,0.28057224,0.27872747,0.27547407,0.111851,0.27821,0.27793467,0.27834675,0.2786447
41,0.27970964,0.27587312,0.27719405,0.1719494,0.27708325,0.27651122,0.27655494,0.2801054
42,0.28009668,0.27894014,0.27660558,0.19384047,0.2793582,0.27782625,0.27993417,0.280368
43,0.27803254,0.27616003,0.27938184,0.060797043,0.27676204,0.27716216,0.28135258,0.279335
44,0.27976865,0.27716848,0.2766683,0.12137188,0.27796453,0.2791081,0.27987033,0.28402007
45,0.28097934,0.27807546,0.27743942,0.19673814,0.27850187,0.2794496,0.27763787,0.28337318
46,0.28026152,0.2769115,0.2791766,0.21828507,0.279096,0.28113374,0.28130057,0.2841676
47,0.27845547,0.28064096,0.27963394,0.22806622,0.27619416,0.27939048,0.28309563,0.27991146
48,0.27694273,0.27825236,0.27812362,0.009614298,0.27758333,0.2767798,0.2787666,0.28018248
49,0.27792048,0.27756342,0.2782907,0.18803588,0.27949867,0.2781648,0.2813488,0.28097236
50,0.2753042,0.27710217,0.27613854,0.18644111,0.27609155,0.27485466,0.28002542,0.2775904
51,0.27799,0.2771804,0.27743196,0.15542011,0.278663,0.27767193,0.28124186,0.28065187
52,0.2786968,0.2800181,0.27787188,0.13202606,0.280318,0.27630144,0.27767795,0.27896133
53,0.27770814,0.27663657,0.27726626,0.14039779,0.27597266,0.2761027,0.28139263,0.27831897
54,0.27956575,0.27999988,0.27474815,0.13520752,0.27602288,0.28220722,0.27831975,0.28000793
55,0.27656692,0.2783068,0.27447364,0.11005088,0.27674782,0.2784042,0.28202558,0.2783811
56,0.2780145,0.27600408,0.2760174,0.21190348,0.27636787,0.28193602,0.2793936,0.2794774
57,0.27786613,0.2778104,0.27879438,0.15506288,0.2769796,0.27585426,0.28052327,0.27795514
58,0.27780896,0.27993357,0.27880904,0.14520186,0.27893627,0.27740476,0.28039855,0.2801045
59,0.2756459,0.27774554,0.279308,0.21883725,0.27769223,0.27526376,0.28006712,0.28100502
60,0.27983457,0.27744237,0.27671382,0.20324317,0.27404687,0.27847198,0.2778788,0.2808938
61,0.2822966,0.2770016,0.27615896,0.17797706,0.27792746,0.27955034,0.2782952,0.28281796
62,0.2788598,0.27653143,0.27756473,0.1703804,0.27678517,0.2785472,0.27893022,0.27945274
63,0.280831,0.27745956,0.2762483,0.23865081,0.27739578,0.27982914,0.2787025,0.28305966
64,0.2798748,0.2789078,0.27719077,0.24084127,0.27802822,0.2782999,0.2815397,0.27938637
65,0.28465778,0.2775062,0.27544868,0.17150362,0.2754885,0.27925515,0.27695867,0.2788989
66,0.27931404,0.27676752,0.2777446,0.22605486,0.27761143,0.27958196,0.28037277,0.2817893
67,0.2787442,0.27862847,0.27811944,0.16810346,0.2788773,0.27582487,0.2778601,0.2777647
68,0.28257734,0.27989626,0.27389544,0.20885703,0.27855587,0.27870587,0.27828553,0.28034166
69,0.27883184,0.27398685,0.27866536,0.118089475,0.27935225,0.27831712,0.27896813,0.27903414
70,0.28036427,0.2805862,0.27708775,0.12781668,0.27865353,0.2791448,0.27960637,0.27897877
71,0.27656308,0.2768195,0.27710506,0.22661689,0.27677584,0.2770661,0.27932855,0.27864492
72,0.2772605,0.279729,0.27443343,0.16501953,0.27555335,0.2767489,0.27855325,0.27758026
73,0.2791154,0.27532265,0.27724382,0.23058419,0.27738714,0.27797037,0.2811208,0.28033134
74,0.27796435,0.27557436,0.28134185,0.24927396,0.28000778,0.2789634,0.28021652,0.2817799
75,0.2779396,0.27606508,0.27552015,0.21007197,0.2778657,0.27814075,0.27912825,0.28037277
76,0.27460843,0.2811162,0.27642545,0.273609,0.2809974,0.2742888,0.27811435,0.27584955
77,0.27702844,0.28159368,0.28001788,0.26640812,0.2785803,0.2758263,0.27589655,0.27959284
78,0.2794795,0.27718592,0.27721286,0.27449647,0.27708513,0.2754499,0.27709517,0.2788524
79,0.27598625,0.28027502,0.2800467,0.24212171,0.27942547,0.27832577,0.2766212,0.27638796
80,0.27558604,0.2778107,0.27640423,0.27517605,0.27735013,0.27636993,0.2768873,0.27894467
81,0.27749398,0.27663442,0.2790236,0.27306512,0.28337565,0.27695537,0.27966854,0.27779773
82,0.27613994,0.2787872,0.2753374,0.27289402,0.27742088,0.2761955,0.2778828,0.27543047
83,0.27686554,0.28024748,0.27960196,0.27361375,0.27930886,0.2770934,0.27635723,0.27706838
84,0.279732,0.27798212,0.28098473,0.27286178,0.2778888,0.2768634,0.27637962,0.27808174
85,0.2763465,0.28172487,0.27628598,0.27262932,0.27975875,0.27789176,0.2744108,0.2781003
86,0.27529818,0.27647,0.2788534,0.2710154,0.2798104,0.27510816,0.27804646,0.2769636
87,0.2760866,0.284184,0.27356824,0.27389657,0.27589962,0.27760592,0.27815357,0.28031334
88,0.2769433,0.277781,0.2804579,0.27460018,0.280806,0.27786928,0.27603742,0.27761948
89,0.27705866,0.2793295,0.27866876,0.26968774,0.28063276,0.27868086,0.2780017,0.27587622
90,0.27828,0.28242087,0.2792198,0.27238026,0.2799348,0.27515256,0.27550146,0.27834326
91,0.27720645,0.27992424,0.2751795,0.27298734,0.28240463,0.27510363,0.27721354,0.27605298
92,0.2783789,0.2824314,0.27564827,0.27308092,0.2803591,0.2767797,0.27434427,0.27827227
93,0.27833033,0.2815273,0.27643925,0.2736619,0.27919698,0.27796504,0.27583542,0.27657112
94,0.27560428,0.2794323,0.2809079,0.27288637,0.2809015,0.2760984,0.2810192,0.27849454
95,0.2771144,0.28181446,0.27936992,0.27618405,0.27998918,0.2767299,0.27818367,0.2771497
96,0.27622285,0.2825596,0.27753633,0.27584073,0.28016594,0.27541706,0.27606934,0.27834594
97,0.28080148,0.28186566,0.2801371,0.27311113,0.28023952,0.27592605,0.27468282,0.2757176
98,0.27699652,0.27900806,0.28371584,0.27044353,0.2790262,0.27731198,0.27640456,0.27715248
99,0.27599105,0.28134397,0.27479306,0.27652746,0.27713963,0.2791846,0.27682653,0.27447745
100,0.27752197,0.28087375,0.27507055,0.27309942,0.27910313,0.27789685,0.27782738,0.27632478
101,0.27796966,0.28325826,0.2774456,0.2624894,0.27733463,0.2766694,0.27716506,0.27793208
102,0.2755696,0.27767342,0.28053194,0.27524114,0.27951336,0.2764625,0.2759505,0.27966917
103,0.2779595,0.27774093,0.2795312,0.27484027,0.279398,0.2751266,0.27529246,0.2762679
104,0.27825293,0.28077847,0.2809434,0.27633762,0.28102162,0.2765259,0.27707362,0.27764797
105,0.2778237,0.27968144,0.27952647,0.27557763,0.28278884,0.27545,0.27350032,0.27918285
106,0.27876237,0.27967173,0.27992976,0.27198958,0.27834716,0.2764595,0.27592313,0.2748208
107,0.2756329,0.27929518,0.27844247,0.2721728,0.27697235,0.27785373,0.277361,0.2773219
108,0.2792627,0.28267488,0.27401504,0.2726032,0.2777729,0.27798286,0.2754834,0.27706906
109,0.2771095,0.2787501,0.27496064,0.27151552,0.27687708,0.27906406,0.27708104,0.2783259
110,0.2773828,0.27694058,0.27481753,0.2720488,0.27590513,0.27772933,0.27738503,0.275191
111,0.27530023,0.27590525,0.27720076,0.27582204,0.2777826,0.27487358,0.27574986,0.280753
112,0.27419704,0.2808207,0.279452,0.27267808,0.28113648,0.27693528,0.27758762,0.2784463
113,0.27640888,0.2790142,0.27548236,0.26906332,0.277676,0.27662,0.27676886,0.27904502
114,0.27774084,0.2819247,0.27783817,0.26171646,0.27819395,0.27543703,0.27610493,0.27917737
115,0.27939278,0.28344804,0.2772563,0.27732792,0.28000596,0.27433395,0.27582794,0.27524862
116,0.27643335,0.27511388,0.27794212,0.2739538,0.27689937,0.27726287,0.2757509,0.27861992
117,0.27647302,0.2810956,0.27680585,0.2724719,0.27784374,0.2775386,0.27748907,0.278264
118,0.27562597,0.2786697,0.2784259,0.27340046,0.27965313,0.27712393,0.27813324,0.27704355
119,0.27560717,0.28006065,0.2774975,0.26604706,0.27783805,0.27830923,0.2791879,0.27960533
120,0.27646595,0.28162217,0.27761847,0.2731786,0.27708638,0.27750582,0.28023177,0.27626696
121,0.2768455,0.2828491,0.2759735,0.27349636,0.2767788,0.27730483,0.2747585,0.27715573
122,0.27810004,0.28211945,0.27614534,0.27240402,0.2790919,0.27699533,0.27801004,0.27634987
123,0.2775018,0.27996647,0.27944547,0.27392715,0.28201243,0.27656278,0.27785754,0.27779818
124,0.2754051,0.27678302,0.2780278,0.25445718,0.28252873,0.276821,0.27848545,0.27861267
125,0.27444273,0.27740523,0.27584302,0.2744756,0.27841645,0.27548712,0.2767481,0.27462476
126,0.27989206,0.2803948,0.27599767,0.27235642,0.2809071,0.27598324,0.275339,0.2775906
127,0.27477676,0.27836952,0.2780408,0.27598062,0.28091958,0.27584568,0.28097612,0.27731743
128,0.2769181,0.27809465,0.27945122,0.27405483,0.28112575,0.2753179,0.27583426,0.27608407
129,0.2761449,0.2781156,0.27719545,0.26903725,0.27895272,0.2775949,0.27495155,0.27727735
130,0.27584562,0.2817324,0.2736578,0.27466547,0.27626783,0.27814457,0.27779233,0.2768614
131,0.27704322,0.2763865,0.27599597,0.27276522,0.27886513,0.2746448,0.27915984,0.27862298
132,0.2751686,0.2829848,0.27540135,0.2747036,0.28033274,0.27728474,0.27708974,0.27734017
133,0.27752236,0.28078723,0.27881247,0.26908702,0.27989087,0.27519938,0.27607298,0.2784653
134,0.277191,0.27683386,0.27969933,0.27580762,0.2807147,0.27617785,0.279136,0.27907488
135,0.27790573,0.28378785,0.27963793,0.27306104,0.28284457,0.27929977,0.2771013,0.27708125
136,0.2737773,0.28045863,0.2769767,0.27046344,0.27807954,0.2762526,0.2771055,0.27785993
137,0.27712688,0.28148422,0.27854955,0.27599803,0.2804741,0.27416047,0.27355552,0.27593395
138,0.2749163,0.28439203,0.2761423,0.26960263,0.28002903,0.27847034,0.27702644,0.27772963
139,0.2770645,0.27900514,0.27780584,0.27339423,0.2782586,0.2769686,0.27786088,0.27879062
140,0.27653575,0.2832043,0.276426,0.27105644,0.2821166,0.27435866,0.2778933,0.28034922
141,0.27517724,0.28301516,0.27817854,0.27493396,0.2814857,0.27597314,0.2746384,0.27504486
142,0.27778563,0.28043061,0.2773744,0.26734802,0.27999273,0.27689892,0.2738946,0.27717602
143,0.27746537,0.27840963,0.27930602,0.26930985,0.2807224,0.2756469,0.27581343,0.27933627
144,0.27708974,0.282921,0.27715203,0.2757503,0.27605805,0.27586183,0.2765548,0.27834612
145,0.2765417,0.28177196,0.27575067,0.26752633,0.27715427,0.27759674,0.2776816,0.27292377
146,0.27675608,0.28229666,0.278754,0.265288,0.27911445,0.2766277,0.27694604,0.27439323
147,0.27675125,0.2779659,0.2824199,0.27487972,0.27939987,0.27478564,0.27534476,0.27615955
148,0.27873737,0.278418,0.2796541,0.2735741,0.28161034,0.27704507,0.27678564,0.27628925
149,0.27933308,0.27808818,0.27802607,0.2728727,0.27943495,0.27670243,0.2769282,0.27722612
150,0.2756744,0.28185555,0.27785778,0.27398852,0.28318638,0.27979743,0.27668095,0.27860284
151,0.27685833,0.2792873,0.27835783,0.27608404,0.27813724,0.2750194,0.27526572,0.27937305
